policy,noise_rate,run_count,safe_success_rate,unsafe_crossing_rate,wrong_detour_rate,avg_observation_count,avg_path_length,avg_elapsed_seconds,avg_simulation_steps
majority-vote,0.0,40,1.0,0.0,0.0,3.0,4.888000246137381,0.9942956187296659,365.5
majority-vote,0.1,40,1.0,0.0,0.0,3.0,4.888000246137381,0.9792645604349672,365.5
majority-vote,0.2,40,1.0,0.0,0.0,3.0,4.888000246137381,1.0679930087644607,365.5
majority-vote,0.3,40,0.95,0.05,0.05,3.0,4.888000246137381,1.1561579460278153,365.5
purify,0.0,40,1.0,0.0,0.0,2.0,4.888000246137381,1.0972114348318427,345.5
purify,0.1,40,1.0,0.0,0.025,2.05,5.091600340139121,1.0612434033770115,359.225
purify,0.2,40,1.0,0.0,0.075,2.3,5.958400910813362,1.1384831187780946,418.4
purify,0.3,40,0.975,0.025,0.1,2.4,6.264801165927201,1.0917800176888703,439.55
single-shot,0.0,40,1.0,0.0,0.0,1.0,4.888000246137381,0.8900447038933634,325.5
single-shot,0.1,40,1.0,0.0,0.0,1.0,4.888000246137381,0.9448732687626034,325.5
single-shot,0.2,40,0.925,0.075,0.075,1.0,4.888000246137381,1.1260730808135122,325.5
single-shot,0.3,40,0.825,0.175,0.175,1.0,4.888000246137381,1.0469167046248913,325.5
