file,profile,policy,seed,belief_ttl,max_observations,sensor_mode,device,learned_model,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,viewpoint_travel,brier_score,final_entropy,information_gain_per_meter,unresolved_gate_entries,dynamic_intercepted,avg_sensor_corruption_ms,avg_perception_ms,elapsed_seconds,simulation_steps
fixed-multiview__depth-degradation__seed-20000.json,depth-degradation,fixed-multiview,20000,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,11.568000000000008,8.320000000000006,0.0005235235694204277,0.04361089241700375,0.11701975545135067,0,False,146.72968916098276,39.82524867852529,2.950144935399294,753
fixed-multiview__depth-degradation__seed-20001.json,depth-degradation,fixed-multiview,20001,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.005546155752803594,0.19820741511396117,0.09636930106803346,0,False,99.61309345563252,13.734929283459982,2.8858234845101833,866
fixed-multiview__depth-degradation__seed-20002.json,depth-degradation,fixed-multiview,20002,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,9.056000000000006,5.312000000000004,0.0007042588126450069,0.10818347962974668,0.17795072418195104,0,False,98.27596982320149,14.918496787548065,2.7340636011213064,596
fixed-multiview__depth-degradation__seed-20003.json,depth-degradation,fixed-multiview,20003,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.00594807887593311,0.09684310099820108,0.1085525118992546,0,False,104.62482086817424,14.867346286773682,2.8195197470486164,866
fixed-multiview__depth-degradation__seed-20004.json,depth-degradation,fixed-multiview,20004,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,11.488000000000008,7.680000000000005,0.00030167364188435445,0.02706994991951679,0.12668360027089617,0,False,99.62628877162933,15.391950984795889,3.062861267477274,748
fixed-multiview__depth-degradation__seed-20005.json,depth-degradation,fixed-multiview,20005,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.009587919253973507,0.3454340682147245,0.08637945781090312,0,False,125.91160329182942,13.705167472362518,2.981995429843664,866
fixed-multiview__depth-degradation__seed-20006.json,depth-degradation,fixed-multiview,20006,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,9.056000000000006,5.312000000000004,0.000803672557367751,0.23022908566568187,0.16397383893850676,0,False,125.1797837416331,17.63049840927124,2.7698296401649714,596
fixed-multiview__depth-degradation__seed-20007.json,depth-degradation,fixed-multiview,20007,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,8.752000000000006,5.312000000000004,0.017466940271082802,0.5210416458294878,0.1015632462626819,0,False,99.21222567558289,14.021303097407023,2.4626028817147017,577
fixed-multiview__depth-degradation__seed-20008.json,depth-degradation,fixed-multiview,20008,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,11.568000000000008,8.320000000000006,0.01263281353008179,0.20316009547691946,0.10312383981099556,0,False,103.01551230748494,14.787306666374207,3.0103398207575083,753
fixed-multiview__depth-degradation__seed-20009.json,depth-degradation,fixed-multiview,20009,60,4,camera-rgbd-corrupted,cuda:0,,True,True,False,False,3,0,0,13.37600000000001,8.320000000000006,0.004134156325804486,0.18933341995717545,0.10331706465371403,0,False,97.88746372858684,14.106578826904297,2.8692952040582895,866
