policy,profile,episodes,completed_episodes,failed_episodes,unsafe_crossing_count,unsafe_crossing_denominator,unsafe_crossing_rate,unsafe_crossing_wilson_ci95_low,unsafe_crossing_wilson_ci95_high,safe_success_count,safe_success_denominator,safe_success_rate,safe_success_wilson_ci95_low,safe_success_wilson_ci95_high,wrong_detour_count,wrong_detour_denominator,wrong_detour_rate,wrong_detour_wilson_ci95_low,wrong_detour_wilson_ci95_high,contract_repair_success_count,contract_repair_success_denominator,contract_repair_success_rate,contract_repair_success_wilson_ci95_low,contract_repair_success_wilson_ci95_high,plan_invalidation_correct_count,plan_invalidation_correct_denominator,plan_invalidation_correct_rate,plan_invalidation_correct_wilson_ci95_low,plan_invalidation_correct_wilson_ci95_high,echo_rejection_success_count,echo_rejection_success_denominator,echo_rejection_success_rate,echo_rejection_success_wilson_ci95_low,echo_rejection_success_wilson_ci95_high,calibration_samples,brier_score,ece_10_bin,conformal_samples,conformal_covered_count,conformal_coverage,conformal_coverage_wilson_ci95_low,conformal_coverage_wilson_ci95_high,conformal_miscoverage,conformal_miscoverage_wilson_ci95_low,conformal_miscoverage_wilson_ci95_high,avg_observation_count,avg_replan_count,avg_path_length
conformal-only,dynamic-change,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.24631765850359527,0.38273948916629963,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
conformal-only,evidence-echo,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.2532569957028921,0.3559988450076878,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
conformal-only,independent-noise,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.25173007444255535,0.40119375771064164,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
conformal-only,ood-severity,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.131829025623037,0.30843383276423425,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
conformal-only,pose-calibration-drift,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,0,,,0,,,,,,,,1.0,0.0,4.785579015970363
conformal-only,shared-occlusion,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.25,0.0,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
conformal-only,structured-depth-dropout,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.14338802625868058,0.3458854166666667,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
conformal-only,time-skew,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.2570074980203119,0.40307444021667765,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
lineage-only,dynamic-change,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.2663593146799579,0.4548741903612706,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
lineage-only,evidence-echo,2,2,0,0,2,0.0,0.0,0.6576197724933469,1,2,0.5,0.09453120573423074,0.9054687942657693,1,2,0.5,0.09453120573423074,0.9054687942657693,0,0,,,,0,0,,,,0,0,,,,2,0.2825365637537034,0.23485388217862363,2,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.657619772493347,1.0,0.0,4.785579015970363
