run_id,source_file,record_index,schema_version,policy,profile,seed,status,failure_type,failure_message,unsafe_crossing,safe_success,wrong_detour,contract_repair_attempted,contract_repair_success,plan_invalidation_expected,plan_invalidation_correct,echo_present,echo_rejection_success,p_clear,true_label,prediction_set,observation_count,replan_count,path_length,record_sha256
conformal-only__dynamic-change__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__dynamic-change__seed-50000.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50000,completed,,,False,True,False,False,,False,,False,,0.06678357145575053,blocked,"[""blocked""]",1,0,5.590243427331527,cb820e89e6f7b3c9681502075e01851430b6b42165255ad3b9aeacba3db3fc3b
conformal-only__dynamic-change__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__dynamic-change__seed-50001.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50001,completed,,,False,False,True,False,,False,,False,,0.3013045931231513,clear,"[""clear"",""blocked""]",1,0,3.9809146046091985,208c10dd1db6734ff34a6f31af24a71ccc0c3d3873d4b273ce79289543344057
conformal-only__evidence-echo__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__evidence-echo__seed-50000.json,1,look-twice.episode/v4,conformal-only,evidence-echo,50000,completed,,,False,True,True,False,,False,,True,,0.2883020995309793,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,f5ee64c7c3886582b8930d385982ac1bce5218ca801b695cba1b04f3c48c78a6
conformal-only__evidence-echo__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__evidence-echo__seed-50001.json,1,look-twice.episode/v4,conformal-only,evidence-echo,50001,completed,,,False,False,False,False,,False,,True,,0.0002997895463549005,blocked,"[""blocked""]",1,0,3.9809146046091985,393a7e69b0b8ea0c553f0959d3a6a52445612c23a3dc53d067f98d7c2036dfaf
conformal-only__independent-noise__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__independent-noise__seed-50000.json,1,look-twice.episode/v4,conformal-only,independent-noise,50000,completed,,,False,True,True,False,,False,,False,,0.2975195960260858,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,a353fd534bfdb2f74d7081c1bbd672f251d8c1e26c3a63951dcf68487cf63301
conformal-only__independent-noise__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__independent-noise__seed-50001.json,1,look-twice.episode/v4,conformal-only,independent-noise,50001,completed,,,False,False,False,False,,False,,False,,0.09990711144736908,blocked,"[""blocked""]",1,0,3.9809146046091985,2f68d73d913a276fcadddf1aec75763b9d849bfce9e81aa1e6bf7689f4dc5dca
conformal-only__ood-severity__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__ood-severity__seed-50000.json,1,look-twice.episode/v4,conformal-only,ood-severity,50000,completed,,,False,True,True,False,,False,,False,,0.5,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,5f2e01e34e735d61f98fe25eea12be2e30d37db17cf645ff0a71fc9b1af07f8f
conformal-only__ood-severity__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__ood-severity__seed-50001.json,1,look-twice.episode/v4,conformal-only,ood-severity,50001,completed,,,False,False,False,False,,False,,False,,0.1168676655284685,blocked,"[""blocked""]",1,0,3.9809146046091985,bd24b62dc92171c214b630cff07fb202194248e633bb1875cbf5cbd2c0bfc9df
conformal-only__pose-calibration-drift__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__pose-calibration-drift__seed-50000.json,1,look-twice.episode/v4,conformal-only,pose-calibration-drift,50000,completed,,,False,True,True,False,,False,,False,,,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,07cd7f01addb1860c64a8223b26a40dffe929df5c6e1b3ad980ed314b5c80aff
conformal-only__pose-calibration-drift__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__pose-calibration-drift__seed-50001.json,1,look-twice.episode/v4,conformal-only,pose-calibration-drift,50001,completed,,,False,False,False,False,,False,,False,,,blocked,"[""clear"",""blocked""]",1,0,3.9809146046091985,517939aac55a028896319e81d49c77368590affee75f870ff308d44905ad7d7d
conformal-only__shared-occlusion__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__shared-occlusion__seed-50000.json,1,look-twice.episode/v4,conformal-only,shared-occlusion,50000,completed,,,False,True,True,False,,False,,False,,0.5,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,5c1f35ff08cd8ee06687d80908accfa4765190413f7be4d16e3d6c6521eabc46
conformal-only__shared-occlusion__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__shared-occlusion__seed-50001.json,1,look-twice.episode/v4,conformal-only,shared-occlusion,50001,completed,,,False,False,False,False,,False,,False,,0.5,blocked,"[""clear"",""blocked""]",1,0,3.9809146046091985,1ac597188b1b9eb70238eee56bd27184ee6aa218b633aeaf14580b89537cd89c
conformal-only__structured-depth-dropout__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/smoke-genesis/raw/conformal-only__structured-depth-dropout__seed-50000.json,1,look-twice.episode/v4,conformal-only,structured-depth-dropout,50000,completed,,,False,True,True,False,,False,,False,,0.5,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,4af3f17b2e23f7301d8e5a599daa4e45ae25098e32d920849eeded4b1098d592
